CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode
Jubilant Pharmova Ltd.,INE700A01033,JUBLPHARMA,530019,2020-02-03,False,2020-02-03,12070015.000000
Just Dial Ltd.,INE599M01018,JUSTDIAL,535648,2020-02-03,False,2020-02-03,16690415.000000
Jyothy Labs Ltd.,INE668F01031,JYOTHYLAB,532926,2020-02-03,False,2020-02-03,12520131.000000
KPR Mill Ltd.,INE930H01031,KPRMILL,532889,2020-02-03,False,2020-02-03,16070089.000000
KEI Industries Ltd.,INE878B01027,KEI,517569,2020-02-03,False,2020-02-03,15050033.000000
KNR Constructions Ltd.,INE634I01029,KNRCON,532942,2020-02-03,False,2020-02-03,15210025.000000
KPIT Technologies Ltd.,INE04I401011,KPITTECH,542651,2020-02-03,False,2020-02-03,17154051.000000
KRBL Ltd.,INE001B01026,KRBL,530813,2020-02-03,False,2020-02-03,12640009.000000
KSB Ltd.,INE999A01015,KSB,500249,2020-02-03,False,2020-02-03,13600002.000000
Kajaria Ceramics Ltd.,INE217B01036,KAJARIACER,500233,2020-02-03,False,2020-02-03,11540007.000000
Kalpataru Projects International Ltd.,INE220B01022,KPIL,522287,2020-02-03,False,2020-02-03,15150006.000000
Kansai Nerolac Paints Ltd.,INE531A01024,KANSAINER,500165,2020-02-03,False,2020-02-03,11580005.000000
Karur Vysya Bank Ltd.,INE036D01028,KARURVYSYA,590003,2020-02-03,False,2020-02-03,14030037.000000
KEC International Ltd.,INE389H01022,KEC,532714,2020-02-03,False,2020-02-03,15150022.000000
Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK,500247,2020-02-03,False,2020-02-03,14060005.000000
L&T Finance Holdings Ltd.,INE498L01015,L&TFH,533519,2020-02-03,False,2020-02-03,17027392.000000
L&T Technology Services Ltd.,INE010V01017,LTTS,540115,2020-02-03,False,2020-02-03,13520838.000000
LIC Housing Finance Ltd.,INE115A01026,LICHSGFIN,500253,2020-02-03,False,2020-02-03,14080009.000000
LTIMindtree Ltd.,INE214T01019,LTIM,540005,2020-02-03,False,2020-02-03,13190108.000000
Lakshmi Machine Works Ltd.,INE269B01029,LAXMIMACH,500252,2020-02-03,False,2020-02-03,13640004.000000
Larsen & Toubro Ltd.,INE018A01030,LT,500510,2020-02-03,False,2020-02-03,17010013.000000
Laurus Labs Ltd.,INE947Q01028,LAURUSLABS,540222,2020-02-03,False,2020-02-03,12541431.000000
Lemon Tree Hotels Ltd.,INE970X01018,LEMONTREE,541233,2020-02-03,False,2020-02-03,16620202.000000
Linde India Ltd.,INE473A01011,LINDEINDIA,523457,2020-02-03,False,2020-02-03,14560004.000000
