CompanyName,ISIN,NSECode,BSECode,Date,MFList,CompanyCode,BTTDate
Havells India Ltd.,INE176B01034,HAVELLS,517354.000000,2024-02-01,True,13150020.000000,2024-02-01
Hero MotoCorp Ltd.,INE158A01026,HEROMOTOCO,500182.000000,2024-02-01,True,10540005.000000,2024-02-01
Hindalco Industries Ltd.,INE038A01020,HINDALCO,500440.000000,2024-02-01,True,15040001.000000,2024-02-01
Hindustan Aeronautics Ltd.,INE066F01020,HAL,541154.000000,2024-02-01,True,13510030.000000,2024-02-01
Hindustan Copper Ltd.,INE531E01026,HINDCOPPER,513599.000000,2024-02-01,True,15100035.000000,2024-02-01
Hindustan Petroleum Corporation Ltd.,INE094A01015,HINDPETRO,500104.000000,2024-02-01,True,12140018.000000,2024-02-01
Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,500696.000000,2024-02-01,True,12520002.000000,2024-02-01
Hindustan Zinc Ltd.,INE267A01025,HINDZINC,500188.000000,2024-02-01,True,15100034.000000,2024-02-01
Hitachi Energy India Ltd.,INE07Y701011,POWERINDIA,543187.000000,2024-02-01,True,13130037.000000,2024-02-01
Home First Finance Company India Ltd.,INE481N01025,HOMEFIRST,543259.000000,2024-02-01,True,14094153.000000,2024-02-01
Honeywell Automation India Ltd.,INE671A01010,HONAUT,517174.000000,2024-02-01,True,13040004.000000,2024-02-01
Housing and Urban Development Corporation Ltd.,INE031A01017,HUDCO,540530.000000,2024-02-01,True,14040026.000000,2024-02-01
ICICI Bank Ltd.,INE090A01021,ICICIBANK,532174.000000,2024-02-01,True,14030056.000000,2024-02-01
ICICI Lombard General Insurance Company Ltd.,INE765G01017,ICICIGI,540716.000000,2024-02-01,True,14020007.000000,2024-02-01
ICICI Prudential Life Insurance Company Ltd.,INE726G01019,ICICIPRULI,540133.000000,2024-02-01,True,14020006.000000,2024-02-01
ICICI Securities Ltd.,INE763G01038,ISEC,541179.000000,2024-02-01,True,14040001.030000,2024-02-01
IDBI Bank Ltd.,INE008A01015,IDBI,500116.000000,2024-02-01,True,14040004.000000,2024-02-01
IDFC First Bank Ltd.,INE092T01019,IDFCFIRSTB,539437.000000,2024-02-01,True,14100051.000000,2024-02-01
IDFC Ltd.,INE043D01016,IDFC,532659.000000,2024-02-01,True,14040034.000000,2024-02-01
IIFL Finance Ltd.,INE530B01024,IIFL,532636.000000,2024-02-01,True,14010485.000000,2024-02-01
IRB Infrastructure Developers Ltd.,INE821I01022,IRB,532947.000000,2024-02-01,True,11600148.000000,2024-02-01
Ircon International Ltd.,INE962Y01021,IRCON,541956.000000,2024-02-01,True,11600033.000000,2024-02-01
ITC Ltd.,INE154A01025,ITC,500875.000000,2024-02-01,True,12630003.000000,2024-02-01
ITI Ltd.,INE248A01017,ITI,523610.000000,2024-02-01,True,15140018.000000,2024-02-01
India Cements Ltd.,INE383A01012,INDIACEM,530005.000000,2024-02-01,True,11510006.000000,2024-02-01
Indiabulls Housing Finance Ltd.,INE148I01020,IBULHSGFIN,535789.000000,2024-02-01,True,14010549.000000,2024-02-01
IndiaMART InterMESH Ltd.,INE933S01016,INDIAMART,542726.000000,2024-02-01,True,13191988.000000,2024-02-01
Indian Bank,INE562A01011,INDIANB,532814.000000,2024-02-01,True,14030019.000000,2024-02-01
Indian Energy Exchange Ltd.,INE022Q01020,IEX,540750.000000,2024-02-01,True,17025175.000000,2024-02-01
Indian Hotels Company Ltd.,INE053A01029,INDHOTEL,500850.000000,2024-02-01,True,16560007.000000,2024-02-01
Indian Oil Corporation Ltd.,INE242A01010,IOC,530965.000000,2024-02-01,True,12140022.000000,2024-02-01
Indian Overseas Bank,INE565A01014,IOB,532388.000000,2024-02-01,True,14030015.000000,2024-02-01
Indian Railway Catering & Tourism Corporation Ltd.,INE335Y01020,IRCTC,542830.000000,2024-02-01,True,17090010.000000,2024-02-01
Indian Railway Finance Corporation Ltd.,INE053F01010,IRFC,543257.000000,2024-02-01,True,14040007.000000,2024-02-01
Indigo Paints Ltd.,INE09VQ01012,INDIGOPNTS,543258.000000,2024-02-01,True,12310469.000000,2024-02-01
Indraprastha Gas Ltd.,INE203G01027,IGL,532514.000000,2024-02-01,True,12300008.000000,2024-02-01
Indus Towers Ltd.,INE121J01017,INDUSTOWER,534816.000000,2024-02-01,True,15200071.000000,2024-02-01
